ID,Accuracy,F1 Score,Loss,Composite Score,Rogi Happy,Training Time,Epochs,Batch Size,Hidden Activation,Output Activation,Optimizer,Top CNN Layer,# Hidden Layers,Start Node,End Node,Dropout,Fine Tuning Layer
1,0.536679566,0.47242862,1.135873914,0.874415635,happy,36:26.7,58,16,leaky_relu,softmax,adam_ft,False,2,2048,1024,0,
2,0.537966549,0.453790843,1.13559413,0.8548667708351615,happy,31:18.3,51,16,leaky_relu,softmax,adam_ft,False,7,512,512,0,
3,0.538395524,0.458450735,1.149290323,0.8384092058091566,happy,40:23.9,67,16,leaky_relu,softmax,adam_ft,False,6,2048,64,0,
4,0.531531513,0.463328034,1.140676975,0.832906573,alert,26:19.1,51,16,leaky_relu,softmax,adam_ft,False,3,256,256,0,
5,0.526812553,0.455856472,1.130896688,0.8213816114864989,frown,31:07.6,50,16,leaky_relu,softmax,adam_ft,False,5,512,512,0,
6,0.531531513,0.457951248,1.14460218,0.8186207381740707,happy,30:17.3,55,16,leaky_relu,softmax,adam_ft,False,3,1024,256,0,
7,0.530673504,0.464272499,1.147603512,0.8183685351660981,happy,30:22.1,54,16,leaky_relu,softmax,adam_ft,False,1,4096,4096,0,
8,0.534105539,0.452988237,1.147796512,0.8165099967591314,happy,34:16.9,52,16,leaky_relu,softmax,adam_ft,False,6,4096,128,0,
9,0.528099537,0.468726546,1.147678971,0.8139476470200684,alert,32:38.9,60,16,leaky_relu,softmax,adam_ft,False,4,64,64,0,
10,0.530244529,0.46287936,1.150243998,0.81004757,happy,27:49.1,43,16,leaky_relu,softmax,adam_ft,False,2,4096,4096,0,
